id,affiliateid,sourceid,clientid,link,product,clicks,actions,conversions,leads,impressions,revenue,actioncost,networkcost,totalcost,costperclick,clickthroughrate,conversionrate,earningsperhundredclicks,returnofinvestment,costperaction,actiondate
278840,327,1,15,www.goodsearch.com/goodshop.aspx,,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,10:56.4
278856,17,1,15,slickdeals.net/,,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10:56.4
278872,330,1,15,brittanygrooming.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
278888,42,1,15,www.couponcause.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
278904,24,1,15,www.befrugal.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
278920,6,1,15,yieldkit.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
278936,153,1,15,www.couponchief.com,,0,0,0,0,0,0,0,0.93,4.64,0,0,0,0,-1,0,10:56.4
278952,27,1,13,www.fmtc.co,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10:56.4
278968,22,1,13,www.savings.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
278984,30,1,13,knoji.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279000,6,1,13,yieldkit.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279016,314,1,14,www.rizknows.com,,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,10:56.4
279032,8,1,14,www.brandreward.com/,,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,10:56.4
279048,18,1,14,www.ebates.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
279064,22,1,14,www.savings.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
279080,62,1,14,www.couponslogic.com/,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
279096,123,1,14,marketamerica.com and www.shop.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279112,21,1,14,coupons.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279128,129,1,14,www.sleepsherpa.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279144,150,1,14,www.oursleepguide.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279160,181,1,14,www.mattressadvisor.com/,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279176,19,1,20,offers.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279192,93,1,20,www.pennysaviour.com/,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279216,17,1,16,slickdeals.net/,,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10:56.4
279232,572,1,16,www.realsimple.com/,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
279248,574,1,16,www.adgoal.net,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
279264,123,1,16,marketamerica.com and www.shop.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279280,482,1,16,www.55haitao.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279296,1,1,16,www.hotdeals.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279312,613,1,20,www.couponpaste.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
279332,327,1,5,www.goodsearch.com/goodshop.aspx,,19,19,0,0,19,0,0,0,0,0,0,0,0,0,0,10:56.4
279348,22,1,5,www.savings.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
279364,365,1,5,www.myishop.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
279380,24,1,5,www.befrugal.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
